"GarageID","Name","Address","Owner","GarageManagerID","Capacity","NumberOfLeasedSpaces","NumberOfTeamMemberSpaces","SpaceCost","ChangeCost","AccessTokenCost","BillingParty","ValidationCost","Latitude","Longitude"
"1","Compuware (OCM)","1188 Farmer St Detroit MI 48226","Bedrock","1","3085","1825","1657","175","0","50","UPM","10","42.3333543","-83.04649310000002","AccessToken.B","AccessToken.P"
"2","Premier","1206 Woodward Ave Detroit MI 48226","City of Detroit","7","1195","925","899","75","20","0","City of Detroit","5","42.3337978","-83.0480407","AccessToken.B"
"3","1001 Woodward","1001 Woodward Ave Detroit MI 48226","Bedrock","1","732","226","226","135","0","0","UPM","10","42.3320291","-83.04760010000001","AccessToken.B","AccessToken.H"
"4","Book Cadillac","150 Michigan Ave Detroit MI 48226","Book Cadillac","2","0","18","18","130","0","30","UPM","0","42.331956","-83.04931999999997","AccessToken.G"
"5","1 Detroit","200 Larned St Detroit MI 48226","One Detroit Center","3","2070","491","485","135","0","50","UPM","0","42.3298491","-83.0442246","AccessToken.B","AccessToken.H"
"6","2 Detroit","160 E Congress St Detroit MI 48226","Bedrock","1","1100","1171","1165","135","0","0","N/A","10","42.3308968","-83.0436712","AccessToken.B"
"7","COBO Congress","467 W Congress St Detroit MI 48226","COBO","4","300","200","197","95","0","0","Bedrock","0","42.3280065","-83.0508577","AccessToken.B"
"8","COBO Rooftop","625 W Congress St Detroit MI 48226","COBO","4","1200","500","475","95","0","0","Bedrock","0","42.3269497","-83.05304419999999","AccessToken.B"
"9","COBO Washington","475 Washington Ave Detroit MI 48226","COBO","4","300","200","197","95","0","0","Bedrock","0","42.3279516","-83.0485974","AccessToken.B"
"10","Detroit Opera House","1426 Broadway St Detroit MI 48226","Detroit Opera House","1","800","1","1","65.75","0","0","N/A","0","42.3354605","-83.04736889999998","AccessToken.B"
"11","Financial District (FDG/DIME)","730 Shelby St Detroit MI 48226","Bedrock","1","934","506","489","135","0","0","UPM","10","42.330903","-83.04879690000001","AccessToken.B"
"12","AT&T Lot","421 Bagley St Detroit MI 48226","Conkey","5","159","159","152","115","0","0","Bedrock","0","42.33304","-83.05418789999999","AccessToken.B"
"13","Brush St / Greektown","1001 Brush St Detroit MI 48226","Bedrock","1","1100","625","524","175","0","0","UPM","0","42.333784","-83.043768","AccessToken.B"
"14","Fort St / Greektown","419 E Fort St Detroit MI 48226","Bedrock","1","687","365","324","175","0","0","UPM","0","42.333098","-83.04220499999997","AccessToken.B"
"15","First National (FNG)","660 Woodward Ave Detroit MI 48226","Bedrock","1","424","100","100","105","0","50","UPM","10","42.3311256","-83.0459323","AccessToken.B","AccessToken.P"
"16","The Z","1234 Library St Detroit MI 48226","Bedrock","1","1287","1450","1394","175","0","0","UPM","10","42.334347","-83.0462809",
"17","Howard Lot A","1240 Abbot St Detroit MI 48226","1200 Sixth St. LLC","6","335","335","306","75","0","0","Bedrock","0","42.3287717","-83.06081230000001",
"18","Howard Lot B","1300 Abbot St Detroit MI 48226","1200 Sixth St. LLC","6","250","250","214","75","0","0","Bedrock","0","42.3282795","-83.06088899999997",
"19","Howard Lot C","1100 Brooklyn St Detroit MI 48226","1200 Sixth St. LLC","6","200","200","0","85","0","0","Bedrock","0","42.3269463","-83.0601658",
"21","840 Lafayette Lot (DMP)","840 Lafayette Ave, Detroit MI 48226","Bedrock","1","135","135","0","0","0.00","0.00","UPM","0","42.335211","-83.038795",